0:00:01 - 0:00:13, [âm nhạc]
0:03:27 - 0:03:35, học Tổng hợp còn gọi là đây là một trong
0:03:32 - 0:03:37, những cái kỹ thuật để giúp đăng ký hiệu
0:03:35 - 0:03:38, quả độ chính xác của hệ thống rất là
0:03:37 - 0:03:43, nhiều và được sử dụng trong các các cuộc
0:03:38 - 0:03:45, thi của travel và tôi thứ 11 và 15 thẻ
0:03:43 - 0:03:47, được sẽ được dành để báo cáo đồ án cuối
0:03:45 - 0:03:50, kỳ cũng như là ôn tập
0:03:47 - 0:03:50, chuẩn bị đề thi cuối kỳ
0:03:51 - 0:03:55, về hình thức đánh giá thì môn học này
0:03:53 - 0:03:58, chúng ta sẽ có 3 cái thành phần điểm
0:03:55 - 0:04:01, chính thành phần đầu tiên đó chính là
0:03:58 - 0:04:04, bài tập sẽ bao gồm là 30% điểm
0:04:01 - 0:04:06, để có được cái cột điểm này thì chúng ta
0:04:04 - 0:04:09, sẽ phải làm các cái bài quy tức là các
0:04:06 - 0:04:12, cái bài trắc nghiệm trên lớp và bài tập
0:04:09 - 0:04:14, lập trình hàng tuần một điểm thứ hai đó
0:04:12 - 0:04:17, chính là đồ án chiếm 30% điểm thì chúng
0:04:14 - 0:04:20, ta sẽ làm đồ án theo nhóm và chúng ta sẽ
0:04:17 - 0:04:22, nộp báo cáo vào cuối kỳ và thành phần
0:04:20 - 0:04:26, thứ ba có thành tỷ trọng điểm cao nhất
0:04:22 - 0:04:30, 40 điểm đó là cổ điển cuối kỳ thì nó sẽ
0:04:26 - 0:04:33, là cột điểm của phần thi viết và đề sẽ
0:04:30 - 0:04:37, là để đóng được tổ chức tập trung
0:04:33 - 0:04:39, tiếp theo thì chúng ta sẽ cùng lượt qua
0:04:37 - 0:04:42, một số cái thành tựu lịch sử và thành
0:04:39 - 0:04:45, tựu của mấy học thì như đã đề cập ở
0:04:42 - 0:04:46, trong cái tên môn học của chúng ta tên
0:04:45 - 0:04:50, môn học đó chính là
0:04:46 - 0:04:53, lập trình pytime cho máy học thế thì mấy
0:04:50 - 0:04:55, học Nó xuất hiện từ khi nào thì trước
0:04:53 - 0:04:58, khi mới học thì chúng ta sẽ có cái khái
0:04:55 - 0:05:02, niệm nó gọi là ai hay còn gọi là atifiso
0:04:58 - 0:05:05, induston Và ngay từ khi máy tính mới ra
0:05:02 - 0:05:07, đời thì các cái nhà khoa học đã có một
0:05:05 - 0:05:08, cái mong muốn đó là làm sao cho máy tính
0:05:07 - 0:05:11, có khả năng thông minh như con người thì
0:05:08 - 0:05:14, cái khái niệm về ai nó đã xuất hiện từ
0:05:11 - 0:05:17, những năm 1950
0:05:14 - 0:05:21, nhưng mà trong cái giai đoạn từ năm 1950
0:05:17 - 0:05:23, cho đến những năm 1980 thì nó chưa có
0:05:21 - 0:05:26, nhiều cái thành tựu nổi bật
0:05:23 - 0:05:28, mãi cho đến khi cái khái niệm về màu sơn
0:05:26 - 0:05:31, lên anh tức là máy học ra đời tức là vào
0:05:28 - 0:05:33, khoảng những năm 1950 thì các khán nhà
0:05:31 - 0:05:36, khoa học họ suy nghĩ rằng là nếu như
0:05:33 - 0:05:39, mình thiết kế các cái Giải Thuật ai ai
0:05:36 - 0:05:42, mà một cách không có một cách tường minh
0:05:39 - 0:05:44, tức là chúng ta sẽ lên các cái room các
0:05:42 - 0:05:47, cái luật hoặc là lập trình các cái bước
0:05:44 - 0:05:50, xử lý thuật toán cố định thì nó sẽ khiến
0:05:47 - 0:05:52, cho cái trí tuệ nhân tạo của mình nó
0:05:50 - 0:05:55, không có có khả năng uyển chuyển và
0:05:52 - 0:05:59, thích ứng dần theo thời gian mà đối với
0:05:55 - 0:06:01, cái bộ não của con người thì muộn trong
0:05:59 - 0:06:03, những cái tính chất rất là quan trọng đó
0:06:01 - 0:06:05, chính là có khả năng thích ứng theo môi
0:06:03 - 0:06:08, trường thích ứng theo thời gian
0:06:05 - 0:06:11, do đó thì cái khái niệm mà sinh Lênin ra
0:06:08 - 0:06:13, đời và nó sẽ lấy được cái ý tưởng chính
0:06:11 - 0:06:16, đó chính là có thể học từ dữ liệu tức là
0:06:13 - 0:06:18, các kỹ thuật toán bài học nó sẽ có tính
0:06:16 - 0:06:20, thích nghi và
0:06:18 - 0:06:22, uyển chuyển theo thời gian dựa trên Dữ
0:06:20 - 0:06:24, liệu nếu như chúng ta đưa vào những cái
0:06:22 - 0:06:27, dữ liệu khác nhau thì cái mô hình nó sẽ
0:06:24 - 0:06:30, thay đổi cái hành vi đi theo đó
0:06:27 - 0:06:33, và gần đây thì disn learning là một
0:06:30 - 0:06:36, nhánh của mùa xuân Lan Anh Tiến Lênin
0:06:33 - 0:06:38, thì xuất hiện cũng tương đối là lâu Tuy
0:06:36 - 0:06:41, nhiên đến năm 2010 và chính xác là năm
0:06:38 - 0:06:42, 2012 trong một cái cuộc thi của eminema
0:06:41 - 0:06:46, về
0:06:42 - 0:06:47, phân loại hình ảnh thì các cái môn cho
0:06:46 - 0:06:49, cái kết quả vượt trội so với các cái mô
0:06:47 - 0:06:53, hình mà sinh ra nên truyền thống và từ
0:06:49 - 0:06:55, đó thì các các nhà khoa học máy tính họ
0:06:53 - 0:06:58, đã chuyển sang cái hướng là nghiên cứu
0:06:55 - 0:07:01, về disn learning để khai thác những cái
0:06:58 - 0:07:04, điểm mạnh cũng như là tối ưu được cái
0:07:01 - 0:07:05, vấn đề về dữ liệu tại vì sau dịch vụ
0:07:04 - 0:07:09, cách mạng
0:07:05 - 0:07:12, về internet và sự phát triển rầm rộ của
0:07:09 - 0:07:14, mạng xã hội thì các cái dữ liệu do người
0:07:12 - 0:07:15, dùng tạo ra ngày càng nhiều và với cái
0:07:14 - 0:07:17, khối lượng dữ liệu ngày càng nhiều như
0:07:15 - 0:07:20, vậy thì các cái mô hình máy học cũng
0:07:17 - 0:07:23, phải có khả năng học được các dữ liệu
0:07:20 - 0:07:25, này thì Deep lên in ra đời là để khai
0:07:23 - 0:07:28, thác được cái nguồn dữ liệu rất là lớn
0:07:25 - 0:07:28, của cái Kỷ Nguyên internet
0:07:29 - 0:07:34, thì máy học nói chung và trí tuệ nhân
0:07:33 - 0:07:37, tạo
0:07:34 - 0:07:40, mấy máy học nói chung và biết Lênin nói
0:07:37 - 0:07:42, riêng thì gần đây có rất nhiều những cái
0:07:40 - 0:07:44, thành tựu thì ở đây có thể kể đến ví dụ
0:07:42 - 0:07:47, trong lĩnh vực về robot thì các cái
0:07:44 - 0:07:49, combo có khả năng chiến thắng các cái
0:07:47 - 0:07:52, nhà
0:07:49 - 0:07:55, dựa trên tờ phim hoặc là chơi game game
0:07:52 - 0:07:57, thủ Ví dụ như cái con boss Alpha Gold
0:07:55 - 0:08:02, hay có thể thắng được các kiện tướng cờ
0:07:57 - 0:08:03, vây Hoặc là các cái con boss trong ai và
0:08:02 - 0:08:05, có thể chiến thắng được các cái game
0:08:03 - 0:08:07, StarCraft Warcraft trước khi game chiến
0:08:05 - 0:08:10, thuật và có cái tính linh động rất là
0:08:07 - 0:08:13, cao nhưng mà các cái combo này vẫn có
0:08:10 - 0:08:16, thể chiến thắng được các game thủ
0:08:13 - 0:08:19, ngoài ra thì trong lĩnh vực về xử lý dữ
0:08:16 - 0:08:22, liệu bảng và ứng dụng trong những cái
0:08:19 - 0:08:25, ngành nghề về tài chính thì chúng ta
0:08:22 - 0:08:27, thấy rằng là nên dùng rất là nhiều mình
0:08:25 - 0:08:29, khá là mọi nơi thì các cái mô hình tài
0:08:27 - 0:08:33, chính định lượng hiện đây thì đâu đó đều
0:08:29 - 0:08:36, có sử dụng các cái kỹ thuật của học máy
0:08:33 - 0:08:40, và không chỉ dừng lại ở đó thì
0:08:36 - 0:08:42, các cái mô hình máy học còn có ứng dụng
0:08:40 - 0:08:45, trong các lĩnh vực về và liên quan đến
0:08:42 - 0:08:46, cái xử lý dữ liệu hình ảnh và xử lý ngôn
0:08:45 - 0:08:49, ngữ tự nhiên
0:08:46 - 0:08:52, và các thành tựu này thì nó áp dụng
0:08:49 - 0:08:54, trong rất nhiều những cái lĩnh vực của
0:08:52 - 0:08:57, cuộc sống bao gồm lĩnh vực chăm sóc sức
0:08:54 - 0:08:59, khỏe lĩnh vực về tài chính thương mại
0:08:57 - 0:09:01, điện tử và Môi trường thông minh thì
0:08:59 - 0:09:03, trong đó đình đám nhất gần đây chính là
0:09:01 - 0:09:06, cái môi trường thông minh thì chúng ta
0:09:03 - 0:09:09, thấy là các cái xe hơi nó đã có khả năng
0:09:06 - 0:09:11, gọi là tự lái rồi Các cái con Boss có
0:09:09 - 0:09:15, khả năng hỗ trợ người dùng trong cái
0:09:11 - 0:09:17, việc là theo dõi công việc rồi theo dõi
0:09:15 - 0:09:20, lịch trình hoặc là trả lời các cái câu
0:09:17 - 0:09:23, hỏi từ những cái yêu cầu
0:09:20 - 0:09:26, cá nhân và gần đây thì trong các cái
0:09:23 - 0:09:28, thiết bị thông minh ở bên trong gia đình
0:09:26 - 0:09:30, như tivi chẳng hạn thì chúng ta có có
0:09:28 - 0:09:33, thể điều khiển bằng giọng nói Thay vì
0:09:30 - 0:09:36, trước đây chúng ta sẽ phải sử dụng các
0:09:33 - 0:09:37, cái mệnh lệnh các cái nút mệnh lệnh tốn
0:09:36 - 0:09:39, rất là nhiều thời gian thì ở đây chúng
0:09:37 - 0:09:41, ta có thể điều khiển bằng giọng nói bằng
0:09:39 - 0:09:45, cách dễ dàng và tự nhiên
0:09:41 - 0:09:48, thì trước cái sự bùng nổ về các cái
0:09:45 - 0:09:51, thành tựu về ai về Mà sinh Lênin Lênin
0:09:48 - 0:09:53, như vậy thì nó làm cho chúng ta có một
0:09:51 - 0:09:58, cái động lực đó là trong cái môn học này
0:09:53 - 0:10:00, làm sao chúng ta có thể sử dụng các công
0:09:58 - 0:10:02, nghệ của máy học để mình có thể áp dụng
0:10:00 - 0:10:05, vào trong cuộc sống
0:10:02 - 0:10:09, và có rất nhiều những cái hướng tiếp cận
0:10:05 - 0:10:11, khác nhau hiện nay tuy nhiên thì
0:10:09 - 0:10:13, đối với cái lập trình truyền thống thì
0:10:11 - 0:10:16, chúng ta thấy rằng là các cái mô hình
0:10:13 - 0:10:18, máy tính nó đòi hỏi là chúng ta phải
0:10:16 - 0:10:20, cung cấp cho nó những cái run Tức là
0:10:18 - 0:10:23, những cái quy luật thì các cái rương này
0:10:20 - 0:10:26, thì thông thường là sẽ dựa trên những
0:10:23 - 0:10:28, cái kinh nghiệm của các cái nhà khoa học
0:10:26 - 0:10:31, chúng ta biết rồi các kinh nghiệm của
0:10:28 - 0:10:33, các nhà khoa học về lưu ý là các nhà
0:10:31 - 0:10:34, khoa học này thì không phải là đến từ
0:10:33 - 0:10:36, nhỏ máy tính
0:10:34 - 0:10:40, mà các cái đuôi này thì sẽ đến từ các
0:10:36 - 0:10:43, cái nhà khoa học trong cái lĩnh vực
0:10:40 - 0:10:46, đó gọi là
0:10:43 - 0:10:50, chuyên môn Ví dụ như chúng ta làm một
0:10:46 - 0:10:51, cái hệ thống cho tài chính thì chúng ta
0:10:50 - 0:10:53, cần các cái
0:10:51 - 0:10:56, chuyên gia trong lĩnh vực về mặt tài
0:10:53 - 0:10:58, chính chúng ta làm trong lĩnh vực y tế
0:10:56 - 0:11:01, thì chúng ta cần các cái chuyên gia về y
0:10:58 - 0:11:04, tế sẽ ngồi lại và liệt kê ra những cái
0:11:01 - 0:11:07, run những cái quy luật được sử dụng
0:11:04 - 0:11:08, trong các lĩnh vực đó để từ đó chúng ta
0:11:07 - 0:11:11, sẽ hiện thực hóa chúng ta sẽ cài đặt các
0:11:08 - 0:11:16, cái rương này vào bên trong máy tính
0:11:11 - 0:11:18, và đưa ra được cái kết quả còn cái hướng
0:11:16 - 0:11:23, tiếp cận mà mấy học hay còn gọi là học
0:11:18 - 0:11:27, máy thì chúng ta sẽ cung cấp
0:11:23 - 0:11:28, các cái câu hỏi và câu trả lời hay còn
0:11:27 - 0:11:30, gọi cái đáp án
0:11:28 - 0:11:33, kết hợp với một số cái dữ liệu khác thì
0:11:30 - 0:11:35, các cái mô hình MC Linh nó sẽ tự tìm ra
0:11:33 - 0:11:38, quy luật
0:11:35 - 0:11:40, khác ở chỗ đầu vào và đầu ra này đối với
0:11:38 - 0:11:43, phương pháp truyền thống thì chúng ta
0:11:40 - 0:11:46, cần phải có những cái run do các chuyên
0:11:43 - 0:11:50, gia đưa ra còn trong cái mô hình máy học
0:11:46 - 0:11:53, thì merced learning nó sẽ giống như là
0:11:50 - 0:11:58, cái chuyên gia nó sẽ dựa trên dữ liệu
0:11:53 - 0:12:01, thô và các cái đáp án để mà tự rút trước
0:11:58 - 0:12:04, rút trích ra được cái các quy luật
0:12:01 - 0:12:08, như vậy thì sau này chúng ta chỉ cần
0:12:04 - 0:12:11, cung cấp cho các cái mô hình máy học các
0:12:08 - 0:12:14, cái dữ liệu đầu vào các cái bộ
0:12:11 - 0:12:17, câu hỏi hoặc là đáp án câu hỏi và đáp án
0:12:14 - 0:12:20, thì nó sẽ thích nghi và nó sẽ tìm ra
0:12:17 - 0:12:25, được các quy luật mới
0:12:20 - 0:12:28, tiếp theo chúng ta sẽ tìm hiểu về ngôn
0:12:25 - 0:12:30, ngữ lập trình và khai thông thì tại tiếp
0:12:28 - 0:12:33, theo lại là ngôn ngữ lập trình Python
0:12:30 - 0:12:35, hiện nay thì chúng ta đã biết ngoài vai
0:12:33 - 0:12:37, Thanh chúng ta có rất nhiều những cái
0:12:35 - 0:12:42, ngôn ngữ lập trình khác ví dụ như là si
0:12:37 - 0:12:46, c++ rồi suy xét Java
0:12:42 - 0:12:49, rồi thp và gần đây thì cũng có ngôn ngữ
0:12:46 - 0:12:52, rất là nổi tiếng là vô vậy thì câu hỏi
0:12:49 - 0:12:54, là tại sao chúng ta lại dùng Titan cho
0:12:52 - 0:12:59, máy học mà không phải là c++ cho máy học
0:12:54 - 0:12:59, c# cho máy học Sa Pa cho máy học
0:12:59 - 0:13:05, để trả lời câu hỏi này thì chúng ta phải
0:13:02 - 0:13:06, xem xét rất nhiều những cái khía cạnh
0:13:05 - 0:13:10, khác nhau của các ngôn ngữ lập trình
0:13:06 - 0:13:14, Python chúng ta thấy rằng là Titan Có
0:13:10 - 0:13:14, thể vừa có thể lập trình được ứng dụng
0:13:16 - 0:13:21, Ví dụ như chúng ta có thể dùng Titan để
0:13:18 - 0:13:23, lập trình web và với thư viện là đi sang
0:13:21 - 0:13:25, hồ
0:13:23 - 0:13:29, rồi chúng ta có thể dùng cây thông để
0:13:25 - 0:13:33, lập trình ép trên desktok và pitton thì
0:13:29 - 0:13:33, cũng có thể dùng để lập trình về máy học
0:13:34 - 0:13:39, thì cũng có thể được sử dụng để lập
0:13:37 - 0:13:42, trình về Big data
0:13:39 - 0:13:45, như vậy thì chúng ta có thể thấy liệt kê
0:13:42 - 0:13:47, sơ qua một số cái phạm vi ứng dụng của
0:13:45 - 0:13:50, khai tâm thì bitan ứng dụng trong rất
0:13:47 - 0:13:52, nhiều những cái lĩnh vực khác nhau dẫn
0:13:50 - 0:13:54, đến là chúng ta thấy bài thân nó rất là
0:13:52 - 0:13:57, đa năng chính cái sự đa năng này thì nó
0:13:54 - 0:13:59, cho cái kết quả đó là Khai Thanh là một
0:13:57 - 0:14:02, trong những cái tốt Training Tức là
0:13:59 - 0:14:04, những cái ngôn ngữ sử dụng lập trình
0:14:02 - 0:14:06, được sử dụng phổ biến trong vài năm gần
0:14:04 - 0:14:06, đây
