0:00:01 - 0:00:13, [âm nhạc]
0:02:47 - 0:02:51, ngữ và các cái kết gã khổng lồ có sử
0:02:50 - 0:02:58, dụng pitton có thể nhắc đến ví dụ như là
0:02:51 - 0:03:01, Instagram rồi go on Google rồi Facebook
0:02:58 - 0:03:02, thì đây là những cái gã khổng lồ có sử
0:03:01 - 0:03:05, dụng ngôn ngữ Python trong các quá trình
0:03:02 - 0:03:05, phát triển các sản phẩm của họ
0:03:05 - 0:03:12, và ở đây chúng ta
0:03:08 - 0:03:15, đưa ra một cái ví dụ cực kỳ nhỏ cực kỳ
0:03:12 - 0:03:16, đơn giản để minh họa tại sao Python được
0:03:15 - 0:03:19, ưa thích
0:03:16 - 0:03:23, ở đây chúng ta thấy ngôn ngữ sinh tồn
0:03:19 - 0:03:26, tại suy xét và Java đây là ba cái ngôn
0:03:23 - 0:03:28, ngữ rất là phổ biến hiện nay thì để có
0:03:26 - 0:03:32, thể thực hiện được một cái câu lệnh là
0:03:28 - 0:03:34, Hello world thì các cái ngôn ngữ này sẽ
0:03:32 - 0:03:36, phải làm rất là dài dòng trong khi đó
0:03:34 - 0:03:38, khai thanh chỉ cần thực hiện đúng một
0:03:36 - 0:03:41, dòng côn là chúng ta có thể thực hiện
0:03:38 - 0:03:43, được rồi thì đây là một cái ví dụ nhỏ để
0:03:41 - 0:03:46, minh họa cho cái việc bạn thân rất là
0:03:43 - 0:03:46, gọn gàng dễ học
0:03:50 - 0:03:55, về môi trường lập trình thì khai Thanh
0:03:53 - 0:03:59, có rất nhiều những cái môi trường lập
0:03:55 - 0:04:02, trình hỗ trợ thì nổi tiếng nhất chính là
0:03:59 - 0:04:05, by charm Bên cạnh đó thì pitton cũng
0:04:02 - 0:04:07, được hỗ trợ trong video studio code
0:04:05 - 0:04:10, [âm nhạc]
0:04:07 - 0:04:12, thì trong phạm vi của môn học này thì
0:04:10 - 0:04:16, tôi khuyến khích là các bạn có thể sử
0:04:12 - 0:04:20, dụng video studio code Tại vì đây là một
0:04:16 - 0:04:21, cái IDE một cái môi trường lập trình có
0:04:20 - 0:04:24, tích hợp với rất nhiều những cái ngôn
0:04:21 - 0:04:26, ngữ khác nhau Nếu như các bạn có học với
0:04:24 - 0:04:29, thêm với các cái ngôn ngữ khác như là
0:04:26 - 0:04:34, pythony + + Java vân vân thì có thể sử
0:04:29 - 0:04:37, dụng cái ID này dùng chung luôn để chia
0:04:34 - 0:04:39, sẻ đỡ nặng máy ngoài ra thì một cái tính
0:04:37 - 0:04:42, chất Nữa của video studio code chính là
0:04:39 - 0:04:44, rất là nhẹ
0:04:42 - 0:04:46, Bên cạnh đó thì chúng ta sẽ sử dụng một
0:04:44 - 0:04:48, cái môi trường
0:04:46 - 0:04:49, cũng rất là nổi tiếng gần đây đó là
0:04:48 - 0:04:51, Jupiter
0:04:49 - 0:04:53, Đây là một cái web interface để cho phép
0:04:51 - 0:04:56, chúng ta có thể lập trình ban thanh
0:04:53 - 0:04:57, và nhờ cái web in the face thì chúng ta
0:04:56 - 0:05:00, có thể
0:04:57 - 0:05:02, tương tác Nó thuận tiện hơn tự nhiên Hơn
0:05:00 - 0:05:06, và cũng như chúng ta có thể chia sẻ cái
0:05:02 - 0:05:08, file mà mã nguồn một cách dễ dàng để cho
0:05:06 - 0:05:09, những cái người khác có thể theo dõi cái
0:05:08 - 0:05:11, số liệu trong quá trình Mà mình xử lý
0:05:09 - 0:05:16, tính toán
0:05:11 - 0:05:20, và một cái môi trường lập trình
0:05:16 - 0:05:21, rất là phổ biến hiện nay nữa đó chính là
0:05:20 - 0:05:24, cô lap
0:05:21 - 0:05:27, côles là một cái môi trường lập trình
0:05:24 - 0:05:29, được tài trợ bởi Google ở thì chỉ cần
0:05:27 - 0:05:32, chúng ta có tài khoản Gmail thì đều có
0:05:29 - 0:05:34, thể sử dụng và cái giao diện của nó thì
0:05:32 - 0:05:36, cũng tương tự như là Jupiter notebook
0:05:34 - 0:05:38, tức là các cái file mà chúng ta tương
0:05:36 - 0:05:42, tác nó sẽ giống như là file
0:05:38 - 0:05:45, có điều là nó sẽ được lưu trữ Online và
0:05:42 - 0:05:46, hoàn toàn miễn phí ở Google các cái file
0:05:45 - 0:05:49, notebook này sẽ được lưu trên Google
0:05:46 - 0:05:53, Drive và dễ dàng chia sẻ với nhau
0:05:49 - 0:05:54, từ đây thì để có thể sử dụng được cái
0:05:53 - 0:05:56, colab thì chúng ta có thể truy cập vào
0:05:54 - 0:05:59, địa chỉ là class
0:05:56 - 0:06:03, chấm resort.google.com
0:05:59 - 0:06:06, và đây sẽ là cái giao diện khi interface
0:06:03 - 0:06:08, và đính kèm với cái bài giảng ngày hôm
0:06:06 - 0:06:11, nay thì chúng ta sẽ có hai cái bài tập
0:06:08 - 0:06:14, luyện tập Ở đây thì chúng ta sẽ được
0:06:11 - 0:06:18, thực hiện vào cuối buổi
0:06:14 - 0:06:20, rồi về tài liệu tham khảo thì như đã đề
0:06:18 - 0:06:23, cập ha chúng ta sẽ có cái trang chủ của
0:06:20 - 0:06:26, Olaf và hai cái bài tập
0:06:23 - 0:06:28, luyện tập sử dụng của lá ngoài ra thì
0:06:26 - 0:06:31, chúng ta sẽ có các cái cuốn sách như đã
0:06:28 - 0:06:36, liệt kê ở trong cái bìa sách ở đây Khai
0:06:31 - 0:06:39, Tâm 101 và Mai Thanh 2001 tương ứng với
0:06:36 - 0:06:41, lại 2 kg mức độ hai cái trình độ khác
0:06:39 - 0:06:44, nhau Đây là mức độ cơ bản và Đây là mức
0:06:41 - 0:06:44, độ nâng cao hơn
